"ORDER_ID";"ORDER_DATE";"ORDER_CHANNEL";"CUSTOMER_NAME";"CUSTOMER_TYPE";"WAREHOUSE_CODE";"SHIP_TO_PROVINCE";"ITEM_ID";"ORDER_QTY_UOM";"ORDER_QTY_PCS";"UNIT_SELLING_PRICE_CAD";"UNIT_SELLING_PRICE_USD";"ORDER_STATUS";"SHIPMENT_ID";"OUTBOUND_CARRIER";"OUTBOUND_SERVICE_LEVEL";"ORDER_SHIP_DATE";"ORDER_DELIVERY_DATE";"SHIPPED_QTY_PCS";"OUTBOUND_TRACKING_NUMBER";"FREIGHT_COST_CAD";"FREIGHT_COST_USD";"ITEM_DESCRIPTION";"ITEM_CATEGORY";"ITEM_BRAND";"UNITS_PER_CARTON";"UNIT_NET_WEIGHT";"UNIT_CBM";"AVERAGE_ITEM_COST_CAD";"AVERAGE_ITEM_COST_USD";"COUNTRY_OF_ORIGIN"
"SO-2025-000187";"2025-08-14";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0012";"Each";2;7.89;5.76;"Shipped";"OUT-000187";"UPS";"Priority";"2025-08-14";"2025-08-19";2;"UPS9540191738";17.8;12.99;"ArcticAura Rose Lip Balm";"Lip Balm";"ArcticAura";36;0.125;0.000891;3.2;2.34;"Poland"
"SO-2025-000188";"2025-08-20";"B2C";"Ecommerce-CA";"Consumer";"TOR";"NB";"COS-0017";"Each";5;3.6;2.63;"Pending";"";"";"";"";"";0;"";0.0;0.0;"LumiCare SPF 15 Face Wash";"Face Wash";"LumiCare";36;0.257;0.001179;1.5;1.1;"Poland"
"SO-2025-000189";"2025-08-16";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0027";"Each";5;15.64;11.42;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"NordGlow Rose Lip Balm";"Lip Balm";"NordGlow";24;0.321;0.00093;5.65;4.12;"Poland"
"SO-2025-000190";"2025-07-06";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0007";"Each";1;4.81;3.51;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";36;0.263;0.001075;2.57;1.88;"Poland"
"SO-2025-000191";"2025-06-17";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0005";"Each";3;10.31;7.53;"Shipped";"OUT-000191";"UPS";"Express";"2025-06-19";"2025-06-21";3;"UPS5878445686";12.9;9.42;"Vistula Beauty Vitamin C Face Cream";"Face Cream";"Vistula Beauty";6;0.241;0.000505;4.52;3.3;"Poland"
"SO-2025-000192";"2025-07-12";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0010";"Each";5;15.51;11.32;"Shipped";"OUT-000192";"UPS";"Priority";"2025-07-13";"2025-07-17";5;"UPS8432523530";17.27;12.61;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";6;0.289;0.00105;5.58;4.07;"Poland"
"SO-2025-000193";"2025-06-16";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0009";"Each";2;5.53;4.04;"Shipped";"OUT-000193";"FedEx";"Ground";"2025-06-16";"2025-06-21";2;"FED3259378813";17.7;12.92;"LumiCare Sensitive Skin Face Wash";"Face Wash";"LumiCare";36;0.191;0.000358;1.92;1.4;"Poland"
"SO-2025-000194";"2025-05-31";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0024";"Each";3;2.39;1.74;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"NordGlow Vanilla Lip Balm";"Lip Balm";"NordGlow";6;0.257;0.000792;1.31;0.96;"Poland"
"SO-2025-000195";"2025-08-18";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0008";"Each";3;12.87;9.4;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura SPF 15 Face Cream";"Face Cream";"ArcticAura";12;0.275;0.000252;4.51;3.29;"Poland"
"SO-2025-000196";"2025-06-25";"B2C";"Ecommerce-CA";"Consumer";"VAN";"MB";"COS-0006";"Each";3;2.79;2.04;"Pending";"";"";"";"";"";0;"";0.0;0.0;"Vistula Beauty SPF 15 Face Cream";"Face Cream";"Vistula Beauty";12;0.224;0.000717;1.38;1.01;"Poland"
"SO-2025-000197";"2025-08-18";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0007";"Each";2;5.11;3.73;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";36;0.263;0.001075;2.57;1.88;"Poland"
"SO-2025-000198";"2025-07-18";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0025";"Each";2;6.22;4.54;"Shipped";"OUT-000198";"UPS";"Express";"2025-07-18";"2025-07-19";2;"UPS5877649135";17.9;13.07;"ArcticAura Hyaluronic Face Cream";"Face Cream";"ArcticAura";6;0.343;0.000936;4.08;2.98;"Poland"
"SO-2025-000199";"2025-08-11";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0007";"Each";3;6.02;4.39;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";36;0.263;0.001075;2.57;1.88;"Poland"
"SO-2025-000200";"2025-07-10";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0006";"Each";4;2.57;1.88;"Shipped";"OUT-000200";"FedEx";"Ground";"2025-07-11";"2025-07-16";4;"FED8110645351";8.77;6.4;"Vistula Beauty SPF 15 Face Cream";"Face Cream";"Vistula Beauty";12;0.224;0.000717;1.38;1.01;"Poland"
"SO-2025-000201";"2025-06-19";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0014";"Each";2;11.53;8.42;"Pending";"";"";"";"";"";0;"";0.0;0.0;"LumiCare Mint Lip Balm";"Lip Balm";"LumiCare";6;0.285;0.000549;5.21;3.8;"Poland"
"SO-2025-000202";"2025-07-23";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0007";"Each";1;7.42;5.42;"Pending";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";36;0.263;0.001075;2.57;1.88;"Poland"
"SO-2025-000203";"2025-08-09";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0026";"Each";3;6.09;4.45;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"Vistula Beauty SPF 15 Face Wash";"Face Wash";"Vistula Beauty";12;0.134;0.000553;3.7;2.7;"Poland"
"SO-2025-000204";"2025-08-21";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0014";"Each";1;15.71;11.47;"Pending";"";"";"";"";"";0;"";0.0;0.0;"LumiCare Mint Lip Balm";"Lip Balm";"LumiCare";6;0.285;0.000549;5.21;3.8;"Poland"
"SO-2025-000205";"2025-07-08";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0025";"Each";3;7.83;5.72;"Shipped";"OUT-000205";"Purolator";"Ground";"2025-07-08";"2025-07-10";3;"PUR2743434010";10.63;7.76;"ArcticAura Hyaluronic Face Cream";"Face Cream";"ArcticAura";6;0.343;0.000936;4.08;2.98;"Poland"
"SO-2025-000206";"2025-08-01";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0026";"Each";5;9.02;6.58;"Shipped";"OUT-000206";"Purolator";"Express";"2025-08-01";"2025-08-03";5;"PUR8538206419";13.32;9.72;"Vistula Beauty SPF 15 Face Wash";"Face Wash";"Vistula Beauty";12;0.134;0.000553;3.7;2.7;"Poland"
"SO-2025-000207";"2025-06-06";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0015";"Each";2;6.66;4.86;"Shipped";"OUT-000207";"FedEx";"Express";"2025-06-07";"2025-06-08";2;"FED2374161273";15.33;11.19;"ArcticAura SPF 15 Face Wash";"Face Wash";"ArcticAura";12;0.161;0.000618;3.21;2.34;"Poland"
"SO-2025-000208";"2025-07-01";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0021";"Each";2;3.39;2.47;"Shipped";"OUT-000208";"UPS";"Ground";"2025-07-03";"2025-07-08";2;"UPS4502725439";9.71;7.09;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";36;0.283;0.00055;1.72;1.26;"Poland"
"SO-2025-000209";"2025-06-24";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0020";"Each";4;3.53;2.58;"Pending";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";24;0.34;0.000614;1.6;1.17;"Poland"
"SO-2025-000210";"2025-06-18";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0002";"Each";4;9.68;7.07;"Shipped";"OUT-000210";"FedEx";"Priority";"2025-06-18";"2025-06-21";4;"FED9722552422";15.69;11.45;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";6;0.177;0.000626;3.58;2.61;"Poland"
"SO-2025-000211";"2025-08-13";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0026";"Each";5;8.05;5.88;"Pending";"";"";"";"";"";0;"";0.0;0.0;"Vistula Beauty SPF 15 Face Wash";"Face Wash";"Vistula Beauty";12;0.134;0.000553;3.7;2.7;"Poland"
"SO-2025-000212";"2025-06-08";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0027";"Each";5;12.5;9.12;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"NordGlow Rose Lip Balm";"Lip Balm";"NordGlow";24;0.321;0.00093;5.65;4.12;"Poland"
"SO-2025-000213";"2025-06-22";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0002";"Each";3;11.84;8.64;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";6;0.177;0.000626;3.58;2.61;"Poland"
"SO-2025-000214";"2025-06-11";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0014";"Each";5;12.3;8.98;"Shipped";"OUT-000214";"UPS";"Express";"2025-06-13";"2025-06-14";5;"UPS7974328839";15.88;11.59;"LumiCare Mint Lip Balm";"Lip Balm";"LumiCare";6;0.285;0.000549;5.21;3.8;"Poland"
"SO-2025-000215";"2025-07-03";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0021";"Each";1;2.61;1.91;"Shipped";"OUT-000215";"Purolator";"Express";"2025-07-03";"2025-07-08";1;"PUR2669679860";17.49;12.77;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";36;0.283;0.00055;1.72;1.26;"Poland"
"SO-2025-000216";"2025-08-09";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0017";"Each";1;3.76;2.74;"Shipped";"OUT-000216";"Purolator";"Express";"2025-08-09";"2025-08-13";1;"PUR9578717101";8.08;5.9;"LumiCare SPF 15 Face Wash";"Face Wash";"LumiCare";36;0.257;0.001179;1.5;1.1;"Poland"
"SO-2025-000217";"2025-07-25";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0004";"Each";4;13.43;9.8;"Shipped";"OUT-000217";"FedEx";"Priority";"2025-07-27";"2025-07-31";4;"FED3003810779";8.19;5.98;"ArcticAura Vitamin C Face Cream";"Face Cream";"ArcticAura";6;0.242;0.000252;5.11;3.73;"Poland"
"SO-2025-000218";"2025-06-16";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0018";"Each";5;7.19;5.25;"Shipped";"OUT-000218";"UPS";"Ground";"2025-06-18";"2025-06-22";5;"UPS2865554415";12.51;9.13;"PureBaltic Rose Lip Balm";"Lip Balm";"PureBaltic";36;0.241;0.000277;2.64;1.93;"Poland"
"SO-2025-000219";"2025-07-15";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0005";"Each";4;7.6;5.55;"Shipped";"OUT-000219";"FedEx";"Ground";"2025-07-17";"2025-07-22";4;"FED9538865640";9.34;6.82;"Vistula Beauty Vitamin C Face Cream";"Face Cream";"Vistula Beauty";6;0.241;0.000505;4.52;3.3;"Poland"
"SO-2025-000220";"2025-07-15";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0006";"Each";5;2.25;1.64;"Pending";"";"";"";"";"";0;"";0.0;0.0;"Vistula Beauty SPF 15 Face Cream";"Face Cream";"Vistula Beauty";12;0.224;0.000717;1.38;1.01;"Poland"
"SO-2025-000221";"2025-08-05";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0026";"Each";3;6.78;4.95;"Shipped";"OUT-000221";"FedEx";"Express";"2025-08-07";"2025-08-12";3;"FED9930853882";15.86;11.58;"Vistula Beauty SPF 15 Face Wash";"Face Wash";"Vistula Beauty";12;0.134;0.000553;3.7;2.7;"Poland"
"SO-2025-000222";"2025-07-04";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0022";"Each";1;4.0;2.92;"Pending";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura Sensitive Skin Face Wash";"Face Wash";"ArcticAura";12;0.26;0.00069;1.63;1.19;"Poland"
"SO-2025-000223";"2025-06-14";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0007";"Each";1;6.42;4.69;"Shipped";"OUT-000223";"FedEx";"Priority";"2025-06-14";"2025-06-16";1;"FED3302907831";10.64;7.77;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";36;0.263;0.001075;2.57;1.88;"Poland"
"SO-2025-000224";"2025-06-08";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0026";"Each";1;7.66;5.59;"Pending";"";"";"";"";"";0;"";0.0;0.0;"Vistula Beauty SPF 15 Face Wash";"Face Wash";"Vistula Beauty";12;0.134;0.000553;3.7;2.7;"Poland"
"SO-2025-000225";"2025-06-19";"B2C";"Ecommerce-CA";"Consumer";"TOR";"NB";"COS-0029";"Each";5;10.97;8.01;"Shipped";"OUT-000225";"Purolator";"Priority";"2025-06-19";"2025-06-22";5;"PUR4855890577";8.55;6.24;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";24;0.23;0.001155;4.96;3.62;"Poland"
"SO-2025-000226";"2025-08-17";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0011";"Each";2;5.13;3.74;"Shipped";"OUT-000226";"UPS";"Ground";"2025-08-18";"2025-08-23";2;"UPS8887319626";12.68;9.26;"PureBaltic SPF 30 Face Wash";"Face Wash";"PureBaltic";12;0.321;0.00046;2.25;1.64;"Poland"
"SO-2025-000227";"2025-08-08";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0019";"Each";4;3.69;2.69;"Shipped";"OUT-000227";"Canada Post";"Ground";"2025-08-10";"2025-08-11";4;"CAN1856954139";12.07;8.81;"LumiCare Hydrating Face Cream";"Face Cream";"LumiCare";36;0.097;0.001069;1.36;0.99;"Poland"
"SO-2025-000228";"2025-07-10";"B2C";"Ecommerce-CA";"Consumer";"TOR";"NS";"COS-0008";"Each";5;8.83;6.45;"Shipped";"OUT-000228";"UPS";"Ground";"2025-07-12";"2025-07-17";5;"UPS9629263089";14.91;10.88;"ArcticAura SPF 15 Face Cream";"Face Cream";"ArcticAura";12;0.275;0.000252;4.51;3.29;"Poland"
"SO-2025-000229";"2025-06-06";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0017";"Each";3;3.91;2.85;"Shipped";"OUT-000229";"Purolator";"Ground";"2025-06-07";"2025-06-12";3;"PUR6690799604";13.52;9.87;"LumiCare SPF 15 Face Wash";"Face Wash";"LumiCare";36;0.257;0.001179;1.5;1.1;"Poland"
"SO-2025-000230";"2025-06-10";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0023";"Each";1;3.19;2.33;"Shipped";"OUT-000230";"Canada Post";"Express";"2025-06-11";"2025-06-15";1;"CAN7115466667";17.67;12.9;"Vistula Beauty Vitamin C Face Cream";"Face Cream";"Vistula Beauty";24;0.176;0.000203;1.43;1.04;"Poland"
"SO-2025-000231";"2025-08-12";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0024";"Each";5;2.83;2.07;"Shipped";"OUT-000231";"FedEx";"Priority";"2025-08-14";"2025-08-16";5;"FED7009143110";11.36;8.29;"NordGlow Vanilla Lip Balm";"Lip Balm";"NordGlow";6;0.257;0.000792;1.31;0.96;"Poland"
"SO-2025-000232";"2025-08-21";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0007";"Each";2;4.97;3.63;"Shipped";"OUT-000232";"UPS";"Express";"2025-08-23";"2025-08-26";2;"UPS1141928905";9.19;6.71;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";36;0.263;0.001075;2.57;1.88;"Poland"
"SO-2025-000233";"2025-08-11";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0012";"Each";1;6.58;4.8;"Pending";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura Rose Lip Balm";"Lip Balm";"ArcticAura";36;0.125;0.000891;3.2;2.34;"Poland"
"SO-2025-000234";"2025-06-10";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0014";"Each";3;13.89;10.14;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"LumiCare Mint Lip Balm";"Lip Balm";"LumiCare";6;0.285;0.000549;5.21;3.8;"Poland"
"SO-2025-000235";"2025-08-13";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0010";"Each";2;16.3;11.9;"Pending";"";"";"";"";"";0;"";0.0;0.0;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";6;0.289;0.00105;5.58;4.07;"Poland"
"SO-2025-000236";"2025-06-11";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0013";"Each";3;4.44;3.24;"Pending";"";"";"";"";"";0;"";0.0;0.0;"ArcticAura Hydrating Face Wash";"Face Wash";"ArcticAura";12;0.328;0.001045;1.32;0.96;"Poland"
"SO-2025-000237";"2025-08-08";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0022";"Each";5;4.01;2.93;"Shipped";"OUT-000237";"Purolator";"Priority";"2025-08-09";"2025-08-13";5;"PUR9766037276";9.99;7.29;"ArcticAura Sensitive Skin Face Wash";"Face Wash";"ArcticAura";12;0.26;0.00069;1.63;1.19;"Poland"
"SO-2025-000238";"2025-08-10";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0030";"Each";4;18.69;13.64;"Shipped";"OUT-000238";"FedEx";"Ground";"2025-08-11";"2025-08-14";4;"FED3476966246";10.84;7.91;"NordGlow SPF 15 Face Cream";"Face Cream";"NordGlow";36;0.148;0.001157;5.27;3.85;"Poland"
"SO-2025-000239";"2025-07-18";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0001";"Each";2;6.35;4.64;"Shipped";"OUT-000239";"UPS";"Priority";"2025-07-19";"2025-07-20";2;"UPS5538617790";13.26;9.68;"LumiCare Citrus Lip Balm";"Lip Balm";"LumiCare";12;0.092;0.000196;1.86;1.36;"Poland"
"SO-2025-000240";"2025-08-09";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0023";"Each";5;2.93;2.14;"Shipped";"OUT-000240";"Purolator";"Ground";"2025-08-09";"2025-08-10";5;"PUR6766717027";8.48;6.19;"Vistula Beauty Vitamin C Face Cream";"Face Cream";"Vistula Beauty";24;0.176;0.000203;1.43;1.04;"Poland"
"SO-2025-000241";"2025-07-25";"B2C";"Ecommerce-CA";"Consumer";"TOR";"NL";"COS-0007";"Each";5;4.86;3.55;"Shipped";"OUT-000241";"FedEx";"Express";"2025-07-27";"2025-07-30";5;"FED7155586955";10.92;7.97;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";36;0.263;0.001075;2.57;1.88;"Poland"
"SO-2025-000242";"2025-08-02";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0001";"Each";2;6.75;4.93;"Shipped";"OUT-000242";"UPS";"Express";"2025-08-04";"2025-08-07";2;"UPS2401961980";16.47;12.02;"LumiCare Citrus Lip Balm";"Lip Balm";"LumiCare";12;0.092;0.000196;1.86;1.36;"Poland"
"SO-2025-000243";"2025-07-05";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0005";"Each";5;9.87;7.21;"Shipped";"OUT-000243";"FedEx";"Priority";"2025-07-05";"2025-07-08";5;"FED1605588518";10.62;7.75;"Vistula Beauty Vitamin C Face Cream";"Face Cream";"Vistula Beauty";6;0.241;0.000505;4.52;3.3;"Poland"
"SO-2025-000244";"2025-08-06";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0028";"Each";5;16.32;11.91;"Pending";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic Sensitive Skin Face Cream";"Face Cream";"PureBaltic";24;0.055;0.00059;4.77;3.48;"Poland"
"SO-2025-000245";"2025-07-12";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0017";"Each";1;3.69;2.69;"Pending";"";"";"";"";"";0;"";0.0;0.0;"LumiCare SPF 15 Face Wash";"Face Wash";"LumiCare";36;0.257;0.001179;1.5;1.1;"Poland"
"SO-2025-000246";"2025-07-24";"B2C";"Ecommerce-CA";"Consumer";"VAN";"MB";"COS-0023";"Each";1;3.04;2.22;"Pending";"";"";"";"";"";0;"";0.0;0.0;"Vistula Beauty Vitamin C Face Cream";"Face Cream";"Vistula Beauty";24;0.176;0.000203;1.43;1.04;"Poland"
"SO-2025-000247";"2025-08-06";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0026";"Each";4;7.39;5.39;"Shipped";"OUT-000247";"Purolator";"Express";"2025-08-07";"2025-08-09";4;"PUR8270712550";15.65;11.42;"Vistula Beauty SPF 15 Face Wash";"Face Wash";"Vistula Beauty";12;0.134;0.000553;3.7;2.7;"Poland"
"SO-2025-000248";"2025-08-15";"B2C";"Ecommerce-CA";"Consumer";"VAN";"NT";"COS-0026";"Each";4;9.2;6.72;"Shipped";"OUT-000248";"UPS";"Priority";"2025-08-17";"2025-08-21";4;"UPS2790279352";12.58;9.18;"Vistula Beauty SPF 15 Face Wash";"Face Wash";"Vistula Beauty";12;0.134;0.000553;3.7;2.7;"Poland"
"SO-2025-000249";"2025-06-22";"B2C";"Ecommerce-CA";"Consumer";"VAN";"MB";"COS-0017";"Each";3;3.36;2.45;"Pending";"";"";"";"";"";0;"";0.0;0.0;"LumiCare SPF 15 Face Wash";"Face Wash";"LumiCare";36;0.257;0.001179;1.5;1.1;"Poland"
"SO-2025-000250";"2025-08-17";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0006";"Each";4;2.37;1.73;"Pending";"";"";"";"";"";0;"";0.0;0.0;"Vistula Beauty SPF 15 Face Cream";"Face Cream";"Vistula Beauty";12;0.224;0.000717;1.38;1.01;"Poland"
"SO-2025-000251";"2025-08-08";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0024";"Each";1;2.96;2.16;"Pending";"";"";"";"";"";0;"";0.0;0.0;"NordGlow Vanilla Lip Balm";"Lip Balm";"NordGlow";6;0.257;0.000792;1.31;0.96;"Poland"
"SO-2025-000252";"2025-08-06";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0001";"Each";2;5.28;3.85;"Shipped";"OUT-000252";"Purolator";"Express";"2025-08-08";"2025-08-11";2;"PUR2290669926";10.89;7.95;"LumiCare Citrus Lip Balm";"Lip Balm";"LumiCare";12;0.092;0.000196;1.86;1.36;"Poland"
"SO-2025-000253";"2025-06-01";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0002";"Each";3;10.57;7.72;"Shipped";"OUT-000253";"Purolator";"Express";"2025-06-03";"2025-06-06";3;"PUR3715416654";9.78;7.14;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";6;0.177;0.000626;3.58;2.61;"Poland"
"SO-2025-000254";"2025-07-23";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0020";"Each";4;3.1;2.26;"Shipped";"OUT-000254";"FedEx";"Express";"2025-07-25";"2025-07-30";4;"FED5046483246";17.74;12.95;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";24;0.34;0.000614;1.6;1.17;"Poland"
"SO-2025-000255";"2025-08-13";"B2C";"Ecommerce-CA";"Consumer";"VAN";"AB";"COS-0024";"Each";2;2.59;1.89;"Shipped";"OUT-000255";"Canada Post";"Ground";"2025-08-15";"2025-08-18";2;"CAN1084583870";16.54;12.07;"NordGlow Vanilla Lip Balm";"Lip Balm";"NordGlow";6;0.257;0.000792;1.31;0.96;"Poland"
"SO-2025-000256";"2025-07-18";"B2C";"Ecommerce-CA";"Consumer";"TOR";"NS";"COS-0010";"Each";5;14.2;10.37;"Shipped";"OUT-000256";"FedEx";"Priority";"2025-07-20";"2025-07-25";5;"FED6309697655";8.36;6.1;"LumiCare Hyaluronic Face Wash";"Face Wash";"LumiCare";6;0.289;0.00105;5.58;4.07;"Poland"
"SO-2025-000257";"2025-06-02";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0007";"Each";3;6.57;4.8;"Shipped";"OUT-000257";"Canada Post";"Express";"2025-06-03";"2025-06-05";3;"CAN2125342433";9.38;6.85;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";36;0.263;0.001075;2.57;1.88;"Poland"
"SO-2025-000258";"2025-08-05";"B2C";"Ecommerce-CA";"Consumer";"TOR";"NL";"COS-0016";"Each";3;11.92;8.7;"Pending";"";"";"";"";"";0;"";0.0;0.0;"NordGlow SPF 30 Face Wash";"Face Wash";"NordGlow";6;0.041;0.000846;4.87;3.56;"Poland"
"SO-2025-000259";"2025-06-08";"B2C";"Ecommerce-CA";"Consumer";"VAN";"BC";"COS-0021";"Each";1;2.71;1.98;"Shipped";"OUT-000259";"UPS";"Express";"2025-06-10";"2025-06-15";1;"UPS8976786964";17.15;12.52;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";36;0.283;0.00055;1.72;1.26;"Poland"
"SO-2025-000260";"2025-08-10";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0026";"Each";2;8.58;6.26;"Shipped";"OUT-000260";"Purolator";"Ground";"2025-08-11";"2025-08-16";2;"PUR9826836194";7.99;5.83;"Vistula Beauty SPF 15 Face Wash";"Face Wash";"Vistula Beauty";12;0.134;0.000553;3.7;2.7;"Poland"
"SO-2025-000261";"2025-08-07";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0020";"Each";3;3.23;2.36;"Shipped";"OUT-000261";"UPS";"Priority";"2025-08-07";"2025-08-09";3;"UPS6715868468";12.76;9.31;"PureBaltic SPF 15 Face Wash";"Face Wash";"PureBaltic";24;0.34;0.000614;1.6;1.17;"Poland"
"SO-2025-000262";"2025-08-16";"B2C";"Ecommerce-CA";"Consumer";"TOR";"ON";"COS-0021";"Each";1;3.36;2.45;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"PureBaltic Vitamin C Face Wash";"Face Wash";"PureBaltic";36;0.283;0.00055;1.72;1.26;"Poland"
"SO-2025-000263";"2025-06-02";"B2C";"Ecommerce-CA";"Consumer";"TOR";"QC";"COS-0016";"Each";3;11.05;8.07;"Cancelled";"";"";"";"";"";0;"";0.0;0.0;"NordGlow SPF 30 Face Wash";"Face Wash";"NordGlow";6;0.041;0.000846;4.87;3.56;"Poland"
